name,mpg,disp
car1,15,390
car2,14,454
car3,15,400
car4,22,232
car5,9,
car6,14,340
car7,14,440
car8,34,108
car9,13,360
car10,17,304
car11,19.4,232
car12,24.3,151
car13,18.1,258
car14,20.2,232
car15,21,199
car16,19,232
car17,18,232
car18,20,232
car19,18,199
car20,18,232
car21,19,232
car22,22.5,232
car23,18,258
car24,18,232
car25,14,304
car26,16,258
car27,15,258
car28,15.5,304
car29,15,304
car30,14,304
car31,19,232
car32,17.5,258
car33,16,304
car34,27.4,121
car35,24,107
car36,20,114
car37,23,115
car38,34.3,97
car39,20.3,131
car40,36.4,121
car41,29,98
car42,26,121
car43,21.5,121
car44,17,231
car45,22.4,231
car46,13,350
car47,25,181
car48,13,350
car49,20.6,231
car50,12,455
car51,14,455
car52,16.9,350
car53,13,350
car54,30,111
car55,17.7,231
car56,21,231
car57,20.5,231
car58,26.6,151
car59,15,350
car60,28.4,151
car61,23,350
car62,16.5,350
car63,25,140
car64,16,250
car65,15,350
car66,27,151
car67,13,400
car68,17.5,305
car69,17,305
car70,28,112
car71,34,112
car72,27,112
car73,13,307
car74,18,307
car75,17,250
car76,16,250
car77,17.5,305
car78,29,85
car79,30.5,98
car80,30,98
car81,32.1,98
car82,28.8,173
car83,28,151
car84,23.5,173
car85,17.5,250
car86,14,350
car87,13,350
car88,11,400
car89,13,350
car90,20.5,200
car91,19.2,267
car92,15.5,350
car93,19.2,305
car94,15,350
car95,20,262
car96,15,250
car97,18,250
car98,22,250
car99,16,250
car100,20,140
car101,21,140
car102,25,140
car103,22,140
car104,28,140
car105,24.5,98
car106,13,350
car107,10,307
car108,31,119
car109,15.5,400
car110,26,156
car111,17.6,225
car112,18.5,360
car113,13,440
car114,13,400
car115,35,72
car116,23.9,119
car117,32.9,119
car118,31.8,85
car119,40.8,85
car120,37,85
car121,32.7,168
car122,37.2,86
car123,38,91
car124,27.2,119
car125,28,97
car126,37,119
car127,22,108
car128,32,83
car129,24,119
car130,22,146
car131,24.2,146
car132,32,85
car133,31,79
car134,39.4,85
car135,33.5,85
car136,27,97
car137,27,97
car138,29,135
car139,25.8,156
car140,18.6,225
car141,19.1,225
car142,20.6,225
car143,20,225
car144,15,383
car145,36,135
car146,28,90
car147,26,98
car148,27.9,156
car149,28,98
car150,25,97.5
car151,35.7,98
car152,33.5,98
car153,16,318
car154,15,318
car155,14,318
car156,13,318
car157,11,318
car158,15,318
car159,19.4,318
car160,17.5,318
car161,12,383
car162,15.5,318
car163,30.9,105
car164,32,135
car165,18.2,318
car166,26,98
car167,26,116
car168,30,88
car169,29,68
car170,24,90
car171,28,107
car172,37.3,91
car173,31,79
car174,12,400
car175,13,400
car176,15.5,351
car177,29.9,98
car178,34.4,98
car179,13,302
car180,10,360
car181,26.4,140
car182,20.2,200
car183,25.1,140
car184,22.3,140
