,build
1,1775
2,105
3,293
4,3042
5,380
6,1969
7,1284
8,3901
9,2335
10,23
11,3401
12,3836
13,2054
14,2001
15,2087
16,2507
17,3440
18,268
19,3909
20,2804
21,2437
22,2731
23,2483
24,1436
25,1428
26,1815
27,242
28,1016
29,2668
30,1814
31,281
32,3333
33,2078
34,3627
35,2899
36,707
37,468
38,3777
39,52
40,1395
41,49
42,1586
43,3513
44,1804
45,2348
46,2150
47,3095
48,1207
49,1215
50,3586
51,1651
52,3071
53,2973
54,3986
55,1772
56,1276
57,1065
58,2666
59,528
60,2196
61,397
62,2947
63,1121
64,1793
65,786
66,446
67,2950
68,1347
69,1886
70,2562
71,3405
72,3873
73,1905
74,3265
75,3959
76,2656
77,1018
78,3716
79,1881
80,2323
81,959
82,1631
83,3861
84,670
85,3533
86,791
87,2410
88,597
89,3201
90,3476
91,3041
92,3520
93,419
94,203
95,794
96,2110
97,3588
98,2844
99,2989
100,901
101,541
102,191
103,1870
104,2553
105,769
106,1148
107,3602
108,3066
109,2176
110,1029
111,2025
112,1590
113,3348
114,354
115,2342
116,2404
117,772
118,2344
119,2013
120,1056
121,1214
122,3510
123,1575
124,3652
125,3218
126,1723
127,3896
128,2095
129,463
130,561
131,1253
132,1269
133,1816
134,2198
135,911
136,3089
137,3651
138,2042
139,1555
140,2486
141,3429
142,1585
143,2371
144,2048
145,3263
146,2326
147,1060
148,282
149,1584
150,1221
151,3884
152,638
153,120
154,2151
155,3489
156,2856
157,617
158,3575
159,1657
160,628
161,2745
162,1001
163,3776
164,1452
165,480
166,2433
167,2012
168,1295
169,837
170,3447
171,3834
172,2379
173,2574
174,2501
175,96
176,230
177,3329
178,1
179,1924
180,2505
181,2363
182,499
183,760
184,2705
185,2955
186,779
187,387
188,3887
189,2417
190,2743
191,308
192,795
193,384
194,1434
195,3219
196,1114
197,2400
198,1998
199,3167
200,952
201,33
202,2060
203,1530
204,82
205,1426
206,2092
207,1100
208,130
209,2832
210,881
211,3671
212,3835
213,1195
214,685
215,1591
216,811
217,2378
218,1197
219,2915
220,392
221,3853
222,982
223,1170
224,1809
225,2382
226,3100
227,2722
228,2657
229,220
230,1188
231,840
232,1055
233,3432
234,2120
235,531
236,2674
237,279
238,1291
239,3796
240,2760
241,593
242,1102
243,3339
244,2458
245,2152
246,3331
247,2163
248,215
249,1588
250,69
251,680
252,589
253,1572
254,2191
255,1934
256,565
257,765
258,1583
259,934
260,1941
261,1421
262,3709
263,3439
264,1098
265,1090
266,6
267,1235
268,1103
269,2085
270,636
271,2199
272,1054
273,2690
274,2119
275,3966
276,1010
277,1131
278,3517
279,2377
280,1748
281,389
282,346
283,2190
284,2869
285,3345
286,2480
287,320
288,61
289,192
290,1190
291,3258
292,2280
293,2936
294,158
295,2689
296,1842
297,3399
298,3892
299,3649
300,3714
301,1984
302,114
303,3154
304,2971
305,2228
306,2312
307,553
308,2173
309,2258
310,3595
311,75
312,3589
313,3821
314,80
315,1661
316,2842
317,176
318,2838
319,3919
320,3653
321,2479
322,493
323,3617
324,3383
325,851
326,1568
327,2469
328,1407
329,3944
330,2028
331,1734
332,3270
333,3569
334,861
335,3006
336,367
337,1954
338,3392
339,2956
340,1173
341,1263
342,821
343,300
344,3935
345,870
346,335
347,1438
348,2128
349,860
350,543
351,1093
352,1625
353,3545
354,608
355,273
356,2293
357,1672
358,3368
359,1961
360,2298
361,1161
362,627
363,1373
364,3393
365,3292
366,2026
367,3125
368,3903
369,1232
370,456
371,1813
372,3730
373,3453
374,2308
375,613
376,2160
377,3279
378,1321
379,2149
380,1033
381,1078
382,1645
383,1285
384,1791
385,510
386,221
387,1854
388,3684
389,900
390,2174
391,3775
392,133
393,2005
394,923
395,3857
396,2879
397,287
398,2776
399,3837
400,4020
401,381
402,210
403,2738
404,3907
405,974
406,2652
407,3113
408,2424
409,3755
410,3308
411,2994
412,1899
413,1212
414,3690
415,3363
416,3974
417,2322
418,581
419,3862
420,3874
421,3500
422,1292
423,635
424,3248
425,2405
426,935
427,414
428,2682
429,430
430,246
431,1362
432,2803
433,3826
434,218
435,152
436,3997
437,1764
438,2821
439,440
440,3703
441,1932
442,1992
443,1479
444,3040
445,3933
446,313
447,3157
448,966
449,2492
450,2933
451,121
452,2006
453,2970
454,334
455,3525
456,277
457,1346
458,1051
459,2071
460,2884
461,448
462,1864
463,633
464,3398
465,87
466,2332
467,2064
468,2420
469,3893
470,53
471,3457
472,1116
473,2102
474,2740
475,1293
476,2558
477,1053
478,3446
479,2695
480,796
481,1681
482,297
483,540
484,1162
485,1379
486,1193
487,1959
488,1384
489,1059
490,2432
491,1504
492,930
493,2701
494,3682
495,2058
496,1938
497,1720
498,2067
499,151
500,828
501,421
502,532
503,4010
504,11
505,3
506,1389
507,3524
508,763
509,2924
510,559
511,3798
512,2830
513,129
