playerID,yearID,nameLast,nameFirst,teamID,AB,H,B2,B3,HR,BB,IBB,HBP,SH,SF,salary,firstYR,careerYear,Allstar,TB,PA,SLG,OB,OBS,logS,earlyCareer,Allstar.next
abbotje01,1998,Abbott,Jeff,CHA,244,68,14,1,12,9,1,0,2,5,175000,1998,1,FALSE,120,261,0.491803279,0.299212598,0.791015877,12.07254125,TRUE,FALSE
abbotje01,1999,Abbott,Jeff,CHA,57,9,0,0,2,5,0,0,1,1,255000,1998,2,FALSE,15,64,0.263157895,0.225806452,0.488964346,12.44901882,TRUE,FALSE
abbotje01,2000,Abbott,Jeff,CHA,215,59,15,1,3,21,1,2,2,1,255000,1998,3,FALSE,85,242,0.395348837,0.333333333,0.728682171,12.44901882,TRUE,FALSE
abbotje01,2001,Abbott,Jeff,FLO,42,11,3,0,0,3,0,1,0,0,3.00E+05,1998,4,FALSE,14,46,0.333333333,0.311111111,0.644444444,12.61153775,TRUE,FALSE
abbotku01,1993,Abbott,Kurt,OAK,61,15,1,0,3,3,0,0,3,0,109000,1993,1,FALSE,25,67,0.409836066,0.28125,0.691086066,11.59910316,TRUE,FALSE
abbotku01,1994,Abbott,Kurt,FLO,345,86,17,3,9,16,1,5,3,2,109000,1993,2,FALSE,136,372,0.394202899,0.279005525,0.673208423,11.59910316,TRUE,FALSE
abbotku01,1995,Abbott,Kurt,FLO,420,107,18,7,17,36,4,5,2,5,119000,1993,3,FALSE,190,472,0.452380952,0.302173913,0.754554865,11.68687877,TRUE,FALSE
abbotku01,1996,Abbott,Kurt,FLO,320,81,18,7,8,22,1,3,4,0,250000,1993,4,FALSE,137,350,0.428125,0.297376093,0.725501093,12.4292162,TRUE,FALSE
abbotku01,1997,Abbott,Kurt,FLO,252,69,18,2,6,14,3,1,6,0,650000,1993,5,FALSE,109,276,0.432539683,0.29739777,0.729937452,13.38472764,FALSE,FALSE
abbotku01,1998,Abbott,Kurt,OAK,194,51,13,1,5,12,0,2,1,3,1.00E+06,1993,6,FALSE,81,212,0.417525773,0.305825243,0.723351016,13.81551056,FALSE,FALSE
abbotku01,1999,Abbott,Kurt,COL,286,78,17,2,8,16,0,0,2,1,9.00E+05,1993,7,FALSE,123,305,0.43006993,0.311258278,0.741328208,13.71015004,FALSE,FALSE
abbotku01,2000,Abbott,Kurt,NYN,157,34,7,1,6,14,2,1,0,1,5.00E+05,1993,8,FALSE,61,175,0.388535032,0.265895954,0.654430986,13.12236338,FALSE,FALSE
abercre01,2006,Abercrombie,Reggie,FLO,255,54,12,2,5,18,2,3,4,1,327000,2006,1,FALSE,85,283,0.333333333,0.254545455,0.587878788,12.69771545,TRUE,FALSE
abernbr01,2002,Abernathy,Brent,TBA,463,112,18,4,2,25,0,6,8,2,215000,2002,1,FALSE,144,504,0.311015119,0.280737705,0.591752824,12.27839331,TRUE,FALSE
abnersh01,1988,Abner,Shawn,SDN,83,15,3,0,2,4,1,1,0,1,63500,1988,1,FALSE,24,90,0.289156627,0.204545455,0.493702081,11.05879518,TRUE,FALSE
abnersh01,1989,Abner,Shawn,SDN,102,18,4,0,2,5,2,0,0,1,77500,1988,2,FALSE,28,110,0.274509804,0.19266055,0.467170354,11.25803322,TRUE,FALSE
